Is_Response,Has_WebLink,Email_Length,Hyphen_Count,Pound_Count,At_Count,Exclamation_Count,Question_Count,Period_Count,Exclamation_Percentage,Question_Percentage,Period_Percentage,Hyphen_Percentage,Pound_Percentage,At_Percentage,Capitalization_Percent,Safe_Email
True,False,1030,1,0,0,2,0,7,0.1941747572815534,0.0,0.6796116504854369,0.0970873786407767,0.0,0.0,0.0,1
False,False,479,0,0,1,0,2,4,0.0,0.4175365344467641,0.8350730688935282,0.0,0.0,0.20876826722338204,0.0,1
True,False,1245,51,2,3,0,1,6,0.0,0.08032128514056225,0.4819277108433735,4.096385542168675,0.1606425702811245,0.24096385542168675,0.0,1
False,True,688,14,0,0,1,1,36,0.14534883720930233,0.14534883720930233,5.232558139534884,2.0348837209302326,0.0,0.0,9.375,0
False,False,441,0,0,0,0,0,13,0.0,0.0,2.947845804988662,0.0,0.0,0.0,0.0,0
False,False,3295,51,0,2,0,0,30,0.0,0.0,0.9104704097116844,1.5477996965098635,0.0,0.06069802731411229,0.0,1
False,True,908,2,0,2,0,1,16,0.0,0.11013215859030837,1.7621145374449338,0.22026431718061673,0.0,0.22026431718061673,4.796511627906977,1
False,False,7653,11,0,0,5,2,49,0.06533385600418137,0.026133542401672545,0.6402717888409774,0.14373448320919902,0.0,0.0,0.0,0
False,True,613,24,0,0,0,0,8,0.0,0.0,1.3050570962479608,3.9151712887438825,0.0,0.0,0.0,0
True,False,1822,5,0,3,1,1,11,0.054884742041712405,0.054884742041712405,0.6037321624588364,0.27442371020856204,0.0,0.16465422612513722,0.0,1
False,False,1474,23,0,0,6,0,5,0.40705563093622793,0.0,0.33921302578018997,1.5603799185888738,0.0,0.0,0.0,0
False,True,149,3,0,0,0,0,6,0.0,0.0,4.026845637583893,2.0134228187919465,0.0,0.0,11.214953271028037,1
False,True,5900,75,0,0,0,1,63,0.0,0.01694915254237288,1.0677966101694916,1.271186440677966,0.0,0.0,2.9058749210360073,1
True,False,1229,54,0,2,0,3,9,0.0,0.24410089503661514,0.7323026851098454,4.393816110659072,0.0,0.16273393002441008,0.0,1
False,False,3017,6,1,0,0,0,36,0.0,0.0,1.193238316208154,0.19887305270135897,0.033145508783559825,0.0,0.0,1
True,False,384,1,0,0,0,1,3,0.0,0.2604166666666667,0.78125,0.2604166666666667,0.0,0.0,0.0,1
False,True,667,3,0,0,0,1,15,0.0,0.14992503748125938,2.2488755622188905,0.4497751124437781,0.0,0.0,4.981549815498155,1
True,False,1105,3,0,1,1,1,7,0.09049773755656108,0.09049773755656108,0.6334841628959276,0.27149321266968324,0.0,0.09049773755656108,0.0,1
False,False,1244,0,0,1,0,0,12,0.0,0.0,0.9646302250803859,0.0,0.0,0.08038585209003216,0.0,1
False,True,9937,392,0,13,11,4,133,0.11069739357955118,0.04025359766529134,1.338432122370937,3.9448525711985507,0.0,0.13082419241219684,6.024253488068849,1
True,False,1130,0,0,8,0,0,32,0.0,0.0,2.831858407079646,0.0,0.0,0.7079646017699115,0.0,1
False,False,256,0,1,0,2,0,5,0.78125,0.0,1.953125,0.0,0.390625,0.0,0.0,0
False,True,718,0,0,0,0,6,8,0.0,0.8356545961002786,1.1142061281337048,0.0,0.0,0.0,3.304347826086956,0
False,True,153,0,0,0,0,2,6,0.0,1.3071895424836601,3.9215686274509802,0.0,0.0,0.0,4.032258064516129,1
False,False,247,6,0,0,0,0,3,0.0,0.0,1.214574898785425,2.42914979757085,0.0,0.0,0.0,1
False,False,656,1,0,0,0,0,6,0.0,0.0,0.9146341463414634,0.1524390243902439,0.0,0.0,0.0,1
False,False,435,2,3,0,0,0,5,0.0,0.0,1.1494252873563218,0.45977011494252873,0.6896551724137931,0.0,0.0,1
True,False,3701,52,14,14,0,0,50,0.0,0.0,1.3509862199405567,1.4050256687381788,0.3782761415833559,0.3782761415833559,0.0,1
False,False,1027,14,1,0,7,0,3,0.6815968841285297,0.0,0.2921129503407984,1.3631937682570594,0.09737098344693282,0.0,21.688311688311686,0
False,False,420,2,0,0,0,0,3,0.0,0.0,0.7142857142857143,0.47619047619047616,0.0,0.0,0.0,1
False,False,5486,10,0,3,0,2,53,0.0,0.03645643456069996,0.966095515858549,0.18228217280349981,0.0,0.054684651841049946,0.0,1
False,False,878,1,0,0,0,0,0,0.0,0.0,0.0,0.11389521640091116,0.0,0.0,0.0,0
False,True,2998,13,0,1,0,0,35,0.0,0.0,1.1674449633088726,0.4336224149432955,0.0,0.0333555703802535,0.0,1
False,False,1053,52,0,3,5,0,2,0.4748338081671415,0.0,0.1899335232668566,4.938271604938271,0.0,0.2849002849002849,0.0,1
False,False,1079,5,1,0,9,1,45,0.8341056533827618,0.09267840593141798,4.170528266913809,0.4633920296570899,0.09267840593141798,0.0,12.82442748091603,0
False,False,992,52,0,1,1,1,4,0.10080645161290322,0.10080645161290322,0.4032258064516129,5.241935483870968,0.0,0.10080645161290322,0.0,1
False,False,489,2,0,0,0,1,2,0.0,0.20449897750511248,0.40899795501022496,0.40899795501022496,0.0,0.0,0.0,0
False,True,916,8,0,1,0,0,12,0.0,0.0,1.3100436681222707,0.8733624454148472,0.0,0.1091703056768559,4.24886191198786,1
True,False,1758,6,0,0,0,1,9,0.0,0.05688282138794084,0.5119453924914675,0.3412969283276451,0.0,0.0,0.0,1
False,False,493,1,0,0,1,0,8,0.2028397565922921,0.0,1.6227180527383367,0.2028397565922921,0.0,0.0,0.0,0
False,True,676,2,0,0,0,0,13,0.0,0.0,1.9230769230769231,0.2958579881656805,0.0,0.0,4.436229205175601,0
False,False,1080,3,0,0,2,3,2,0.18518518518518517,0.2777777777777778,0.18518518518518517,0.2777777777777778,0.0,0.0,0.0,0
False,False,1808,0,0,0,0,0,13,0.0,0.0,0.7190265486725663,0.0,0.0,0.0,0.0,1
False,False,274,1,0,0,1,3,2,0.36496350364963503,1.094890510948905,0.7299270072992701,0.36496350364963503,0.0,0.0,3.30188679245283,1
False,True,218,0,0,0,2,0,2,0.9174311926605505,0.0,0.9174311926605505,0.0,0.0,0.0,42.44186046511628,0
True,False,2670,54,3,24,0,2,8,0.0,0.0749063670411985,0.299625468164794,2.0224719101123596,0.11235955056179775,0.898876404494382,0.0,1
False,False,354,4,0,0,1,0,3,0.2824858757062147,0.0,0.847457627118644,1.1299435028248588,0.0,0.0,0.0,1
False,False,198,0,1,0,1,1,3,0.5050505050505051,0.5050505050505051,1.5151515151515151,0.0,0.5050505050505051,0.0,0.0,0
False,False,418,1,0,0,1,0,3,0.23923444976076555,0.0,0.7177033492822966,0.23923444976076555,0.0,0.0,0.0,0
